text,pages,sections
"This is termed as the “encroaching movement.” As a result of this, the farmers who lost their land migrated to cities in search of jobs. The extra labour that was generated as a result was able to be used for the industrial Unlike in other countries, in Britain talented individuals had the opportunity to earn",[12],"['countries in the world by imposing several commercial laws. Thus, Britain was']"
"money irrespective of their social status. This free social environment in the attitudes supported the spread of novel ideas and it was conducive for the development of Further, together with the development of the economy, the",[12],"['countries in the world by imposing several commercial laws. Thus, Britain was']"
"emergence of new banks and financial organizations that provided capital for the industries and businesses was seen. The political stability that was prevailing in Britain too helped the industrial The parliament provided the freedom, tax relief and support to engage",[12],"['countries in the world by imposing several commercial laws. Thus, Britain was', 'industries and businesses was seen.']"
"in business activities for the economic development. Compared with the other countries in Europe, Britain had the most conducive environment for the industrial revolution. A number of features such as being a",[12],"['Compared with the other countries in Europe, Britain had the most conducive', 'in business activities for the economic development.']"
"small island, ability to build a web of markets throughout the country, ability to charge high prices for productions and London city being a centre that distributed raw materials, capital and products; helped Britain to surpass other countries in the Rise of the Industrial Revolution","[12, 13]","['1.2. Rise of the Industrial Revolution', 'Compared with the other countries in Europe, Britain had the most conducive', 'charge high prices for productions and London city being a centre that distributed']"
"The industrial revolution in Britain was based on three industries as given below. The development that occurred in these fields resulted in the gradual progress in other fields such as transport, communication and agriculture. Textile producers in Britain faced a challenge of increasing their textile products to meet",[13],['1.2. Rise of the Industrial Revolution']
the high demand that came from their own colonies. Weaving clothes became a little faster with the invention of the flying shuttle by John K. in 1733. threads needed in weaving clothes still remained a problem.,[13],['1.2. Rise of the Industrial Revolution']
"According to the situation that was there at that time, threads produced by six thread makers per day were enough only for one weaver to work for",[13],"['1.2. Rise of the Industrial Revolution', 'by six thread makers per day were', 'enough only for one weaver to work for']"
"Therefore, there was some idea of increasing the pace of spinning. result of that enthusiasm, a person called James Hargreaves produced a machine",[13],"['James Hargreaves produced a machine', 'enough only for one weaver to work for']"
"called ‘Jenny’ in 1764 for cotton weaving. This machine was a manually operated Later in 1769, Richard Arkwright produced a more efficient, water powered",[13],"['This machine was a manually operated', 'called ‘Jenny’ in 1764 for cotton weaving.']"
Fig 1.1 – The Jenny machine produced by James turbine’. Hargreaves for spinning cotton in 1764 important production when compared to the other machines used for the same,[13],"['This machine was a manually operated', 'important production when compared', 'to the other machines used for the same']"
"But it was difficult to be used in houses because it was very big in size. On the other hand, because a fast tide of water was needed to run the machine, it could be used only in such places where there was a continuous supply of water. Samuel Crompton who used the steel.","[13, 14]",['to the other machines used for the same']
Steel could be produced cheaply and functioning principles of Spinning quickly in this method. Jenny and the Water Turbine oven to smelt ore by Wilhelm Siemens in produced a new machine called 1870 helped the improvement of iron and,[14],['to the other machines used for the same']
"to produce finer and stronger the way for a rapid improvement in iron Then around 1785, Edmund and steel industry. Cartwright found a way of running within a period of about 30 years",[14],"['Cartwright found a way of running', 'to the other machines used for the same']"
"new machines and novel technical spinning cotton more efficient. Fig 1.2 –The water powered spinning machine Hence, there was a big revolution in Fig 1.3 Henri Bessemer’s oven for producing steel",[14],"['methods were invented to make', 'new machines and novel technical']"
produced by Richard Arkwright the weaving industry during a short Prepare short questions from the section about iron and steel. Make short questions regarding the section on textile industry. Explain the industrial development that took place in iron and steel industry,[14],"['1. Make short questions regarding the section on textile industry. 2. Explain the industrial development that took place in iron and steel industry', '1. Prepare short questions from the section about iron and steel.', 'methods were invented to make']"
Explain the industrial development in textile sector under the following under the following areas. - Reasons for the industrial development in iron and steel industry - Reasons for industrialization in textile sector - New inventions in the above field and their advantages - New productions of textile sector and their advantages,[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"Ore deposits are found in abundance in Britain. British people produced iron and There are so many coal mines in Britain. South Wales, Yorkshire, Lancashire are steel even before the industrial revolution to make weapons, agricultural equipment some places where coal mines are situated.",[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"Coal was popular as a cheap and efficient They used firewood to smelt ore for this purpose. It was difficult fuel for smelting ore, running machines and household chores. to meet the huge demand for iron and steel needed for the production of machinery for coal increased with the industrial development, mining coal was difficult.",[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"that emerged as a result of the industrial revolution using firewood. Several new inventions were made in order to find solutions to the problems such as removing the water that gathered in the mine when it was dug deep, poisonous Hence, alternative methods had to be looked for.",[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"In 1730 the method of smelting gases found in the depth, increasing heat and providing light to the depth. ore using coal was found by Abraham Darby. They produced molded iron in this In 1784 tempered iron could be produced with the invention of 'Roller' Thomas Newcomen invented a steam engine in 1735 to pump water of the mines",[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"Henri Bessemer found a new method to produce steel by and artificially cool the air. Yet, it was inefficient and could not be used in other removing dirt from iron in 1856. The invention of open oven method in 1860, by industries too.",[14],['2. Explain the industrial development in textile sector under the following under the following areas.']
"Therefore, James Watt developed this to a new steam engine in 1736. developing the above mentioned method, enabled the production of high quality It was an efficient engine that could be used in many industries. Steel could be produced cheaply and oven to smelt ore by Wilhelm Siemens in","[14, 15]","['2. Explain the industrial development in textile sector under the following under the following areas.', 'oven to smelt ore by Wilhelm Siemens in']"
1870 helped the improvement of iron and the way for a rapid improvement in iron Fig 1.3 Henri Bessemer’s oven for producing steel Prepare short questions from the section about iron and steel.,[15],"['1. Prepare short questions from the section about iron and steel.', '1870 helped the improvement of iron and', 'the way for a rapid improvement in iron']"
Explain the industrial development that took place in iron and steel industry - Reasons for the industrial development in iron and steel industry - New inventions in the above field and their advantages There are so many coal mines in Britain.,[15],['2. Explain the industrial development that took place in iron and steel industry']
"South Wales, Yorkshire, Lancashire are some places where coal mines are situated. Coal was popular as a cheap and efficient fuel for smelting ore, running machines and household chores.",[15],['2. Explain the industrial development that took place in iron and steel industry']
"for coal increased with the industrial development, mining coal was difficult. Several new inventions were made in order to find solutions to the problems such as removing the water that gathered in the mine when it was dug deep, poisonous gases found in the depth, increasing heat and providing light to the depth.",[15],['2. Explain the industrial development that took place in iron and steel industry']
"Thomas Newcomen invented a steam engine in 1735 to pump water of the mines and artificially cool the air. Yet, it was inefficient and could not be used in other Therefore, James Watt developed this to a new steam engine in 1736.",[15],"['2. Explain the industrial development that took place in iron and steel industry', 'industries too. Therefore, James Watt developed this to a new steam engine in 1736.']"
It was an efficient engine that could be used in many industries. Fig 1.4 - A picture of the steam engine Fig 1.5 – Steam engine produced made by Thomas Newcomen by James Watt The problem of providing light to the mines too was solved when Humphry Davy,"[15, 16]","['It was an efficient engine that could be used in many industries.', 'Pump', 'made by Thomas Newcomen by James Watt']"
"produced the safety lamp in 1812. In 1839, a method was found to take coal out of the mines using iron cables instead of the old method of taking them out by women and children using copper cables.",[16],['made by Thomas Newcomen by James Watt']
The development of the coal industry resulted in several by products. by burning coal was used in road construction. Paints that were necessary in dyeing clothes too were made with the help of coal.,[16],"['clothes too were made with the help of coal. It was further used to produce medicine,', 'made by Thomas Newcomen by James Watt']"
"It was further used to produce medicine, perfumes, oil and fertilizers. Explain the development of the coal industry under the 1.Reasons for the industrial development in the coal","[16, 17]","['1.Reasons for the industrial development in the coal', 'and children', 'clothes too were made with the help of coal. It was further used to produce medicine,']"
"2.Advantages of the new inventions of the coal industry. Fig 1.7 – Safety lamp produced by Expansion of the Industrial Revolution The industrial revolution that took place in the fields of textile, coal and iron",[17],"['2.Advantages of the new inventions of the coal industry.', 'Expansion of the Industrial Revolution']"
"industries in Britain soon spread into the other fields also. expansion is considered, two types of expansions can be identified as expansion of industrial revolution to other fields and expansion of industrial revolution to other The new knowledge that emerged in relation to industrial and technological fields as",[17],"['1. Expansion to other fields', 'industrial revolution to other fields and expansion of industrial revolution to other', 'industries in Britain soon spread into the other fields also. When the nature of this']"
"a result of industrial revolution did not limit itself to industries and productions. spread to the other fields too. Fields like transport, communication and agriculture too had rapid development under the influence of the industrial revolution.",[17],['1. Expansion to other fields']
"Many changes took place in the transport sector because of the influence of the With the development of the industrial sector, a necessity of developing a road system arose for transporting raw materials to factories and transporting products to markets.",[17],"['1. Expansion to other fields', 'industrial revolution. With the development of the industrial sector, a necessity']"
"Therefore in 1811, John McAdam introduced a It is called “the Macadam Method.” Macadam Method Macadam method means spreading smal pieces of granite on a strong foundation","[17, 18]","['MMMaaacccaaadddaaammm MMMeeettthhhoooddd', 'industrial revolution. With the development of the industrial sector, a necessity']"
"of biger stones and soil and making roads by pounding and leveling them. Even the vehicles that carry heavy loads of goods and passengers could be driven fast and easily on these roads. Therefore, hundreds of miles of such roads were built",[18],['MMMaaacccaaadddaaammm MMMeeettthhhoooddd']
in Britain and Scotland within a short period. Machines and engines used for transport too developed with the development of The production of the steam engine by George Stephenson in 1814 became a landmark in the industrial revolution.,[18],"['in Britain and Scotland within a short period.', 'landmark in the industrial revolution. As a result, trains could be used to transport']"
"As a result, trains could be used to transport The time spent for transport could be minimized by transporting products from factories to markets and transportation cost was reduced by being able to transport heavy loads of goods at a time.",[18],"['coal and other products. The time spent for transport could be minimized by', 'landmark in the industrial revolution. As a result, trains could be used to transport']"
George Stephenson who invented the locomotive engine was not able to read and write till he was 17 years old. Fig 1.9 The steam engine invented by George Fig 1.8 George Stephenson Stephenson,[18],['coal and other products. The time spent for transport could be minimized by']
"The development that took place in land transport as a result of the industrial revolution, affected the naval and water transport too. In 1807, an American called Robert Fulton produced the steamboat. produced the steam ship in 1811 for passenger transport.","[18, 19]","['In 1807, an American called Robert Fulton produced the steamboat. Henry Bell', 'coal and other products. The time spent for transport could be minimized by']"
"The production of motor car in 1885 by the German, Daimler and the production of the aeroplane by Wright brothers in 1903, made a huge change in the transport system. Thus, as a result of the expansion of the",[19],"['In 1807, an American called Robert Fulton produced the steamboat. Henry Bell']"
"industrial revolution, there was a rapid change in all forms of transport; land, water Fig 1.10 Daimler’s motor car Fig 1.11 Aeroplane produced by  Expansion of Communication Sector There was a rapid development in communication sector too in parallel to the",[19],"['Wright brothers', 'industrial revolution, there was a rapid change in all forms of transport; land, water']"
The postal service that existed in Britain up to this was A need arose to exchange letters quickly for a cheaper price in a shorter Fig 1.12 – Several experiments to develop communication between two distanced places using electronic methods were conducted from the beginning of the 19th,[19],"['Wright brothers', 'very costly. A need arose to exchange letters quickly for a cheaper price in a shorter']"
"As a result of this, an apparatus was produced to communicate using human voice, between two places through cables in 1876. It was produced by Alexander Graham Bell. A new postal service which was called ‘Penny Postal Service’ was started for this in","[19, 20]","['It was produced by Alexander Graham Bell.', 'century. As a result of this, an apparatus was produced to communicate using']"
"A letter could be sent to any corner of the country by spending just a penny There arose another need for sending messages between two places more quickly than sending letters with the rapid development of industrial and transport sector. As a result of the experiments conducted for this, Samuel Morse was able to start",[20],['1840. A letter could be sent to any corner of the country by spending just a penny']
Sending messages between two places through a cable was started in this method using symbols. An immense change took place in the communication sector in 1895 when Guglielmo Marconi invented the method of sending messages through radio signals,[20],['1840. A letter could be sent to any corner of the country by spending just a penny']
and then John Logie Baird invented the television. These two inventions supported not only the development of communication but also the development of trade and commerce including other economic activities.,[20],"['1840. A letter could be sent to any corner of the country by spending just a penny', 'commerce including other economic activities.']"
1.13 John Logie Baird and Fig 1.14 Marconi’s radio There was a rapid development in agriculture in parallel to the industrial revolution. Several factors that affected this can be identified as;  Using new technology in animal husbandry,[20],"['commerce including other economic activities.', 'the television he invented']"
 Using new agricultural methods and equipment The establishment of factories expanded with the industrialization attracting more This left their land in villages uncultivated. proprietors had to give up their lands due to various reasons.,"[20, 21]",['the television he invented']
given up thus and the lands taken over from other farmers were combined together Agriculture developed as a result of cultivating these lands which came under the encroaching movement. Change of crops in cultivation,[21],"['Change of crops in cultivation', 'the television he invented']"
"needed for sowing and increase Fig 1.15 Cultivation using change of crops At the same time, animal products increased due to the new technological methods One example is the findings regarding breeding of sheep",[21],['needed for sowing and increase']
"The invention of efficient equipment that came with the industrial revolution altered the field of agriculture completely. Machines were produced to clear forests, prepare the land and produce seeds.",[21],['needed for sowing and increase']
"Further, paying attention on producing manure to achieve more productivity in agriculture is an important move. experiments done in this field, a type of manure called ‘Guano Fertilizers’ was produced in Africa for the first time in 1800.",[21],['needed for sowing and increase']
Then it was produced in America also. After some time chemical fertilizers and agro chemicals were produced. Agricultural and animal products could be sold at a cheaper price because they could be produced with less expenditure owing to the store facilities and modern,[21],"['could be produced with less expenditure owing to the store facilities and modern', 'needed for sowing and increase']"
"transport methods that came as a result of the industrial revolution. there was a high demand for agro products. Expansion to other countries Results of the Industrial Revolution The industrial revolution that began in Britain spread to the countries in the Broad changes occurred in political, social and economic sectors in many countries","[21, 22]","['2. Expansion to other countries Results of the Industrial Revolution', 'could be produced with less expenditure owing to the store facilities and modern']"
due to the industrial revolution that took place everywhere in the world. European continent also within a short period of time. results had both good and bad characteristics. American and African continents also.,[22],['2. Expansion to other countries Results of the Industrial Revolution']
There were several reasons for the spread of the industrial revolution to other countries in the 19th century.  Changes in the Political Field • Increase in demand for goods that came as a result of rapid increase in world The industrial revolution resulted in a wealthy class that invested money for profit,[22],['2. Expansion to other countries Results of the Industrial Revolution']
population and an underprivileged class that survived by selling labour. labour of the underprivileged in their businesses and earned a huge profit. • Development of travel and transport in Europe living conditions of the labourers who worked in factories were very poor.,[22],"['2. Expansion to other countries Results of the Industrial Revolution', 'labour of the underprivileged in their businesses and earned a huge profit. Yet the', 'living conditions of the labourers who worked in factories were very poor. Because']"
"• Discovery of coal in France and Germany of this suppression there were many clashes between the rich and the poor including the emergence of labour unions, boycotts, struggles for rights, etc. As a result, other countries in the world too started to speed up their production",[22],['living conditions of the labourers who worked in factories were very poor. Because']
ended in the expansion of political beliefs such as socialism and liberalism. using machines in the same way England did. Industrial centres emerged in areas that were situated close to markets and where raw materials were found in abundance,[22],['living conditions of the labourers who worked in factories were very poor. Because']
"Germany that was able to mark an increased industrial development, had become a powerful country at the beginning of World War I. Then the industrial revolution spread to other European countries like France, Belgium, Austria, Hungary and Prussia.",[22],['in Germany and France. Germany that was able to mark an increased industrial']
The Austrian empire built roads to a length of 30 miles and Belgium doubled the length of its roads at the same time. every country started laying railways. The effects of the industrial revolution were,[22],['in Germany and France. Germany that was able to mark an increased industrial']
felt in states in America that existed as colonies of Britain as well. industrial development after independence in that country. Japan was an Asian country which had an enormous development in the industrial sector during the latter half of the 19th century and the first few decades of the 20th,[22],"['in Germany and France. Germany that was able to mark an increased industrial', 'industrial development after independence in that country.']"
Japan has become a country that holds a competitive place among the countries that have obtained a rapid development in science and technological fields Fig 1.16 - A struggle for rights by labourers by following the western methods and models.,[22],"['century. Japan has become a country that holds a competitive place among the', 'countries that have obtained a rapid development in science and technological fields']"
"The influence of the industrial revolution was greatly felt in many Asian countries Adam Smith presented the concept called “laissez-faire” which led to the expansion of capitalism throughout the world. Laissez-faire means reducing the government including China, India and Sri Lanka by the 20th century.",[22],"['countries that have obtained a rapid development in science and technological fields', 'including China, India and Sri Lanka by the 20th century. Thus the world became a']"
"involvement and giving more allowance for private sector involvement in the global village because of the industrial revolution that spread to the other countries At the same time, as the industrialization spread throughout in the world and the rapid development it created in transport and communication",[22],"['in the world and the rapid development it created in transport and communication', 'involvement and giving more allowance for private sector involvement in the']"
"Europe, there arose a need for getting raw materials for a cheaper price and selling the products at a higher prices. Therefore, the European countries had to compete Results of the Industrial Revolution","[22, 23]","['Results of the Industrial Revolution', 'in the world and the rapid development it created in transport and communication']"
"Broad changes occurred in political, social and economic sectors in many countries due to the industrial revolution that took place everywhere in the world. results had both good and bad characteristics.  Changes in the Political Field",[23],['Results of the Industrial Revolution']
The industrial revolution resulted in a wealthy class that invested money for profit and an underprivileged class that survived by selling labour. labour of the underprivileged in their businesses and earned a huge profit. living conditions of the labourers who worked in factories were very poor.,[23],"['Results of the Industrial Revolution', 'labour of the underprivileged in their businesses and earned a huge profit. Yet the', 'living conditions of the labourers who worked in factories were very poor. Because']"
"of this suppression there were many clashes between the rich and the poor including the emergence of labour unions, boycotts, struggles for rights, etc. ended in the expansion of political beliefs such as socialism and liberalism. Fig 1.16 - A struggle for rights by labourers",[23],['living conditions of the labourers who worked in factories were very poor. Because']
Adam Smith presented the concept called “laissez-faire” which led to the expansion of capitalism throughout the world. Laissez-faire means reducing the government involvement and giving more allowance for private sector involvement in the,[23],"['involvement and giving more allowance for private sector involvement in the', 'living conditions of the labourers who worked in factories were very poor. Because']"
"At the same time, as the industrialization spread throughout Europe, there arose a need for getting raw materials for a cheaper price and selling the products at a higher prices. Therefore, the European countries had to compete",[23],['involvement and giving more allowance for private sector involvement in the']
for tightening their political grasp in the colonies. came after 1850 is called neo-imperialism. This struggle of European countries to capture new colonies became a major factor that led to World War I.,[24],"['came after 1850 is called neo-imperialism. This struggle of European countries to', 'capture new colonies became a major factor that led to World War I.', 'involvement and giving more allowance for private sector involvement in the']"
" Changes in the Economic Sector One change that took place in the industrial revolution is the expansion of industrial products and commercial activities taking the first place in the economy. Accordingly, a wealthy class that owned factories and a class of business people",[24],"['capture new colonies became a major factor that led to World War I.', 'industrial products and commercial activities taking the first place in the economy.']"
"Farmers who owned small lands had to come to cities and join these factories as they could not carry on working in their farms. self-sufficient economy failed and emerged a working class that worked for a salary. Thus, the agro-economic system broke down and the import-export economy came",[24],['industrial products and commercial activities taking the first place in the economy.']
"Agricultural production too became industrialized and a number of food As a result, both local and foreign businessess developed in European countries and Asian, African and Latin American countries which were the colonies of European countries.",[24],['industrial products and commercial activities taking the first place in the economy.']
"In the same way, the capitalist economic system too spread rapidly around the globe. Private entrepreneurs could not afford to invest money on these expanded businesses So, several entrepreneurs got together and formed combined business",[24],"['individually. So, several entrepreneurs got together and formed combined business', 'industrial products and commercial activities taking the first place in the economy.']"
"These companies expanded their commercial activities into Asian, African and Latin American countries with the help of their governments to achieve At first, these trade companies consisted of local businessmen only. first part of the 19th century, these companies became multi-national companies.",[24],"['companies. These companies expanded their commercial activities into Asian,']"
These companies that were engaged in production of goods and buying and selling simultaneously were engaged in monetary and banking activities. transactions and loan facilities easy for the entrepreneurs. The society was influenced both positively and negatively due to the industrial,[24],"['companies. These companies expanded their commercial activities into Asian,']"
Many new cities were created as a result of the industrialization and the lives of people who lived there were greatly affected. those items that were produced in bulk in the factories. factories generated a lot of new job opportunities.,[24],"['companies. These companies expanded their commercial activities into Asian,']"
As a result people could enjoy size of cities in Europe increased facilities of these cities came years before 1847 the population,"[24, 25]","['companies. These companies expanded their commercial activities into Asian,', 'facilities of these cities came', 'size of cities in Europe increased']"
"increase is 20%, building houses In many countries of the world Fig 1.17 – Child labourers who worked in new cities emerged as a result of",[25],"['In many countries of the world', 'increase is 20%, building houses', 'new cities emerged as a result of']"
factories during the industrial revolution the industrialization and villagers began to migrate to these cities. The increasing number of job opportunities in cities,[25],"['factories during the industrial revolution', 'the industrialization and villagers']"
that emerged due to mega industries sped up the urbanization. One major social outcome of the industrialization is the formation of a classed By the 20th century economic activities of all European countries were governed by the class of rich factory owners.,[25],['the industrialization and villagers']
"This rich class consisted of two major • The other class consisted of middle class business owners, small scale traders, factory owners, bankers, contractors, engineers and lawyers, etc. They employed labourers for less wages and earned heavy profit through that.",[25],['the industrialization and villagers']
"in the rich class developed comparatively better living conditions and spent more comfortable and enjoyable lives. But, the living conditions of the working class people were in a very poor state. The husband and wife both in the same family had to work in order to survive",[25],"['comfortable and enjoyable lives.', 'in the rich class developed comparatively better living conditions and spent more']"
and sometimes they had to send their children too to work. lot in these factories working for 12 -14 hours and the jobs they had to do were Women and children had to work in factories where there were no facilities and protection.,"[25, 26]","['comfortable and enjoyable lives.', 'lot in these factories working for 12 -14 hours and the jobs they had to do were']"
Labourers had to reside close to the factories in  ACTIVITY 4 They had to live in shanties or lined houses which did not have Conduct a debate on good and bad effects of the industrial revolution. All members of the family had to live in one room.,[26],"['1. Conduct a debate on good and bad effects of the industrial revolution.', 'industrialized cities. They had to live in shanties or lined houses which did not have', 'lot in these factories working for 12 -14 hours and the jobs they had to do were']"
"Thus, what the underprivileged class which was the majority of the society received 2. Give answers to the following questions. were unfavourable living conditions, poverty and a meagre salary. Write three changes that took place in the political field due to the",[26],['1. Conduct a debate on good and bad effects of the industrial revolution.']
adverse circumstances drunkenness and other abuses were inevitable. Write three changes that took place in the economic sector. Many countries paid their attention to resolving these social disparities by 18th Write three changes that took place in the society.,[26],"['1. Conduct a debate on good and bad effects of the industrial revolution.', 'II. Write three changes that took place in the economic sector.', 'III. Write three changes that took place in the society.']"
"At the same time labourers came together as unions and started struggling to get their salary increased, the number of working hours reduced and sanitary and other facilities increased. Therefore, every government had to impose",[26],['III. Write three changes that took place in the society.']
laws for the social and economic welfare of the working class. Effects of the Industrial Revolution on Sri Lanka How the industrial revolution that started in Britain spread throughout the world within a short time has been explained above.,[26],"['1.3. Effects of the Industrial Revolution on Sri Lanka', 'laws for the social and economic welfare of the working class.']"
